Municipio,Produto,Data da Coleta,Valor de Venda,Valor de Compra
SAO LUIS,DIESEL S10,03/01/2019,"3,499",
SAO LUIS,GASOLINA,03/01/2019,"3,999",
SAO LUIS,DIESEL S10,03/01/2019,"3,499",
SAO LUIS,GASOLINA,03/01/2019,"3,969",
SAO LUIS,DIESEL S10,03/01/2019,"3,349",
SAO LUIS,GASOLINA,03/01/2019,"3,999",
SAO LUIS,DIESEL S10,03/01/2019,"3,499",
SAO LUIS,GASOLINA,03/01/2019,"4,099",
SAO LUIS,DIESEL S10,03/01/2019,"3,499",
SAO LUIS,GASOLINA,03/01/2019,"4,099",
SAO LUIS,DIESEL S10,03/01/2019,"3,449",
SAO LUIS,GASOLINA,10/01/2019,"4,099",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"3,999",
SAO LUIS,ETANOL,10/01/2019,"3,499",
SAO LUIS,DIESEL S10,10/01/2019,"3,449",
SAO LUIS,GASOLINA,08/01/2019,"3,999",
SAO LUIS,DIESEL S10,08/01/2019,"3,519",
SAO LUIS,GASOLINA,10/01/2019,"4,099",
SAO LUIS,DIESEL S10,10/01/2019,"3,549",
SAO LUIS,GASOLINA,10/01/2019,"4,099",
SAO LUIS,DIESEL,10/01/2019,"3,399",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"4,099",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,08/01/2019,"3,999",
SAO LUIS,ETANOL,08/01/2019,"3,499",
SAO LUIS,DIESEL,08/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"3,999",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"3,999","3,6144"
SAO LUIS,DIESEL,10/01/2019,"3,399",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"3,999",
SAO LUIS,DIESEL S10,10/01/2019,"3,349",
SAO LUIS,GASOLINA,10/01/2019,"4,099",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"4,099","3,6355"
SAO LUIS,DIESEL,10/01/2019,"3,399",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"4,099","3,5961"
SAO LUIS,ETANOL,10/01/2019,"3,499",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"3,999","3,5964"
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,08/01/2019,"3,999","3,6188"
SAO LUIS,DIESEL,08/01/2019,"3,399",
SAO LUIS,DIESEL S10,08/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"4,099",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"3,999","3,6595"
SAO LUIS,ETANOL,10/01/2019,"3,549","3,2506"
SAO LUIS,DIESEL S10,10/01/2019,"3,469","3,1255"
SAO LUIS,GASOLINA,10/01/2019,"3,999","3,6144"
SAO LUIS,DIESEL S10,10/01/2019,"3,599",
SAO LUIS,GASOLINA,10/01/2019,"4,099",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,09/01/2019,"3,999",
SAO LUIS,DIESEL S10,09/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"4,099",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"3,999",
SAO LUIS,DIESEL,10/01/2019,"3,399",
SAO LUIS,DIESEL S10,10/01/2019,"3,449",
SAO LUIS,GASOLINA,10/01/2019,"3,99",
SAO LUIS,ETANOL,10/01/2019,"3,49",
SAO LUIS,DIESEL,10/01/2019,"3,39",
SAO LUIS,GASOLINA,10/01/2019,"4,099",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"3,999",
SAO LUIS,GASOLINA,10/01/2019,"4,099",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"3,999",
SAO LUIS,ETANOL,10/01/2019,"3,499",
SAO LUIS,DIESEL S10,10/01/2019,"3,599",
SAO LUIS,GASOLINA,10/01/2019,"3,999",
SAO LUIS,DIESEL,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"3,999",
SAO LUIS,DIESEL,10/01/2019,"3,499",
SAO LUIS,DIESEL S10,10/01/2019,"3,599",
SAO LUIS,GASOLINA,09/01/2019,"3,999",
SAO LUIS,DIESEL S10,09/01/2019,"3,599",
SAO LUIS,GASOLINA,10/01/2019,"3,999","3,6188"
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"3,999",
SAO LUIS,DIESEL,10/01/2019,"3,449",
SAO LUIS,DIESEL S10,10/01/2019,"3,549",
SAO LUIS,GASOLINA,10/01/2019,"3,999","3,7949"
SAO LUIS,DIESEL S10,10/01/2019,"3,599",
SAO LUIS,GASOLINA,10/01/2019,"4,199","3,6255"
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"3,999","3,5999"
SAO LUIS,ETANOL,10/01/2019,"3,569","3,3278"
SAO LUIS,DIESEL S10,10/01/2019,"3,459",
SAO LUIS,GASOLINA,10/01/2019,"4,099","3,6477"
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"4,029",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"3,999",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"4,099",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"4,099",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"4,199",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"4,099",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"4,099",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"4,099",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"4,099",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"4,099",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"4,099",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"4,099",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"3,999",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,10/01/2019,"4,099",
SAO LUIS,DIESEL S10,10/01/2019,"3,599",
SAO LUIS,GASOLINA,10/01/2019,"4,199",
SAO LUIS,DIESEL S10,10/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"3,99",
SAO LUIS,ETANOL,15/01/2019,"3,49",
SAO LUIS,DIESEL S10,15/01/2019,"3,49",
SAO LUIS,GASOLINA,16/01/2019,"3,999",
SAO LUIS,DIESEL S10,16/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"3,999",
SAO LUIS,DIESEL,15/01/2019,"3,449",
SAO LUIS,DIESEL S10,15/01/2019,"3,549",
SAO LUIS,GASOLINA,15/01/2019,"3,989",
SAO LUIS,DIESEL,15/01/2019,"3,399",
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,16/01/2019,"3,989",
SAO LUIS,ETANOL,16/01/2019,"3,499",
SAO LUIS,DIESEL,16/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"3,989",
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,16/01/2019,"3,899",
SAO LUIS,DIESEL S10,16/01/2019,"3,399",
SAO LUIS,GASOLINA,15/01/2019,"3,999",
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"4,099","3,6455"
SAO LUIS,DIESEL,15/01/2019,"3,399",
SAO LUIS,DIESEL S10,15/01/2019,"3,449",
SAO LUIS,GASOLINA,16/01/2019,"4,099","3,6488"
SAO LUIS,DIESEL S10,16/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"4,099","3,5905"
SAO LUIS,ETANOL,15/01/2019,"3,499",
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"4,099",
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,16/01/2019,"3,999","3,5859"
SAO LUIS,DIESEL S10,16/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"3,999",
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,16/01/2019,"3,989","3,5988"
SAO LUIS,ETANOL,16/01/2019,"3,499",
SAO LUIS,DIESEL S10,16/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"3,999",
SAO LUIS,DIESEL,15/01/2019,"3,399",
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"3,989","3,5957"
SAO LUIS,DIESEL,15/01/2019,"3,399",
SAO LUIS,DIESEL S10,15/01/2019,"3,499","3,1252"
SAO LUIS,GASOLINA,15/01/2019,"4,099",
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,16/01/2019,"3,989",
SAO LUIS,DIESEL S10,16/01/2019,"3,349",
