Data da Coleta,Produto,Valor_de_Venda
2021-06-20,GASOLINA,5.996675
2021-06-27,GASOLINA,6.048390243902439
2021-07-04,GASOLINA,6.170894736842105
2021-07-11,GASOLINA,6.26629268292683
2021-07-18,GASOLINA,6.248641025641025
2021-07-25,GASOLINA,6.1220487804878045
2021-08-01,GASOLINA,6.0797
2021-08-08,GASOLINA,6.239054054054054
2021-08-15,GASOLINA,6.289325
2021-08-22,GASOLINA,6.476048780487805
2021-08-29,GASOLINA,6.497780487804878
2021-09-05,GASOLINA,6.612589743589744
2021-09-12,GASOLINA,6.654487804878049
2021-09-19,GASOLINA,6.647731707317074
2021-09-26,GASOLINA,6.660024390243902
2021-10-03,GASOLINA,6.743925
2021-10-10,GASOLINA,6.934317073170732
2021-10-17,GASOLINA,6.913780487804877
2021-10-24,GASOLINA,7.185878048780487
2021-10-31,GASOLINA,7.223536585365854
2021-11-07,GASOLINA,7.201682926829268
2021-11-14,GASOLINA,7.121682926829267
2021-11-21,GASOLINA,7.003317073170733
2021-11-28,GASOLINA,6.980609756097561
2021-12-05,GASOLINA,6.943146341463415
2021-12-12,GASOLINA,6.886926829268292
2021-12-19,GASOLINA,6.82409756097561
2021-12-26,GASOLINA,6.79780487804878
2022-01-02,GASOLINA,6.791538461538462
2022-01-09,GASOLINA,6.741951219512195
2022-01-16,GASOLINA,6.925853658536585
2022-01-23,GASOLINA,6.854358974358974
2022-01-30,GASOLINA,6.786585365853658
2022-02-06,GASOLINA,6.777560975609756
2022-02-13,GASOLINA,6.7107317073170725
2022-02-20,GASOLINA,6.668048780487805
2022-02-27,GASOLINA,7.12439024390244
2022-03-06,GASOLINA,7.13829268292683
2022-03-13,GASOLINA,8.044102564102564
2022-03-20,GASOLINA,8.154878048780489
2022-03-27,GASOLINA,8.191951219512195
2022-04-03,GASOLINA,8.178536585365853
2022-04-10,GASOLINA,8.20829268292683
2022-04-17,GASOLINA,8.209268292682927
2022-04-24,GASOLINA,8.197073170731707
2022-05-01,GASOLINA,8.213170731707317
2022-05-08,GASOLINA,8.197073170731707
2022-05-15,GASOLINA,8.160975609756099
2022-05-22,GASOLINA,8.111219512195122
2022-05-29,GASOLINA,8.126341463414635
2022-06-05,GASOLINA,7.990243902439025
2022-06-12,GASOLINA,7.908292682926829
2022-06-19,GASOLINA,7.951463414634146
2022-06-26,GASOLINA,7.669142857142858
